Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	muNeo	rate01	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	scale	stationaryDist[1]	stationaryDist[2]	tree_length
360	-529.3936	-560.2966	30.90299	0.0441805	0.0297093	0.0196583	0.0102465	0.107894	0.0117486	0.048962	0.00172573	0.0340178	0.0264289	0.0590904	0.0106139	0.0627539	0.0166732	0.00497809	0.0799522	0.128411	0.0497254	0.0396892	0.0635734	0.0159577	0.1007	0.0236884	0.0100871	0.061734	0.0592588	0.0342797	0.0343278	0.0515729	0.8024999	0.6701461	0.0742825	0.281403	0.673288	1.48525	3.55362	13.4621	1.879892	0.0355824	0.0239275	0.0158326	0.0082524	0.0868963	0.00946214	0.0394333	0.00138988	0.0273975	0.0212855	0.0475907	0.00854831	0.0505412	0.0134284	0.00400929	0.0643924	0.103421	0.0400482	0.0319652	0.0512012	0.0128521	0.0811025	0.0190783	0.00812405	0.0497197	0.0477263	0.0276084	0.0276472	0.0415362	1.059803	0.59875	0.40125	1.241639
396	-528.6263	-556.856	28.22964	0.0296861	0.0604354	0.00737027	0.0228638	0.0862725	0.056604	0.221212	0.0829599	0.0842652	0.166513	0.156479	0.0712996	0.121598	0.105485	0.00504945	0.37526	0.189122	0.157811	0.0855248	0.289692	0.0152765	0.21675	0.0484374	0.158954	0.223653	0.0942311	0.041087	0.0568975	0.0430694	0.8027788	0.670535	0.133167	0.374081	0.735823	1.35902	2.67322	7.50938	1.457817	0.00906762	0.01846	0.00225125	0.00698375	0.0263519	0.0172897	0.067569	0.0253401	0.0257388	0.0508613	0.0477964	0.0217785	0.0371421	0.0322205	0.00154235	0.114623	0.0577674	0.0482033	0.0261235	0.0884863	0.00466622	0.0662064	0.0147952	0.0485526	0.0683148	0.0287829	0.01255	0.0173793	0.0131555	1.059714	0.598611	0.401389	3.273859
432	-534.8853	-561.8553	26.96995	0.0706794	0.150382	0.03726	0.0643018	0.0087626	0.043843	0.193003	0.0631459	0.0125875	0.186145	0.0248196	0.126243	0.236066	0.415446	0.029223	0.454561	0.0937592	0.041317	0.111021	0.226086	0.00723573	0.287436	0.097901	0.254463	0.231199	0.00306281	0.0377961	0.0348332	0.435605	0.9101264	0.8350752	0.16561	0.416051	0.760643	1.31468	2.40355	6.03828	1.300164	0.0177667	0.0378017	0.00936609	0.0161636	0.00220266	0.0110209	0.0485154	0.015873	0.00316413	0.0467914	0.00623893	0.0317338	0.05934	0.104431	0.00734581	0.114263	0.0235683	0.0103859	0.0279075	0.0568315	0.00181885	0.0722531	0.0246095	0.0639647	0.0581167	0.0007699	0.00950085	0.00875606	0.109498	1.026355	0.544937	0.455063	3.978186
468	-525.3458	-558.1063	32.76053	0.0197391	0.00491784	0.00859106	0.0211448	0.0208329	0.0138906	0.0707033	0.000834338	0.00758815	0.0112643	0.040288	0.00915032	0.0379495	0.0354586	0.00633457	0.0640692	0.0513286	0.00990223	0.0334379	0.0323726	0.0258005	0.0648924	0.0231421	0.0278436	0.100686	0.0169441	0.0249943	0.00571472	0.0294971	0.1426565	0.07680673	0.0813505	0.294158	0.682664	1.46485	3.39954	12.2925	1.814171	0.0240923	0.0060024	0.0104857	0.0258079	0.0254273	0.0169539	0.0862959	0.00101834	0.00926161	0.0137484	0.049173	0.0111683	0.0463188	0.0432785	0.00773157	0.0781987	0.0626484	0.012086	0.0408121	0.039512	0.0314905	0.0792035	0.0282458	0.0339841	0.12289	0.0206809	0.0305065	0.00697502	0.0360023	1.324425	0.928672	0.0713282	0.8193122
504	-517.9435	-549.4252	31.48166	0.0476367	0.0752157	0.0603004	0.0242192	0.0972703	0.00513509	0.1682	0.000318352	0.00306824	0.000137558	0.0351903	0.0625084	0.0887606	0.211157	0.00179677	0.136535	0.0671713	0.0111909	0.0294051	0.00396971	0.053063	0.0461789	0.0363041	0.0337811	0.152714	0.0138248	0.0413416	0.0184667	0.0489239	0.4453711	0.2864806	0.117472	0.351889	0.721916	1.3852	2.84181	8.51263	1.548489	0.0302689	0.0477929	0.0383155	0.0153891	0.0618066	0.00326289	0.106876	0.000202285	0.00194959	8.74061e-05	0.0223603	0.0397185	0.0563995	0.134171	0.00114169	0.0867557	0.0426814	0.00711085	0.0186843	0.0025224	0.0337168	0.0293426	0.023068	0.0214649	0.0970361	0.00878445	0.0262689	0.011734	0.0310868	1.188305	0.777314	0.222686	1.573784
540	-521.2028	-550.9967	29.79394	0.0539957	0.0461022	0.0552768	0.0754564	0.205521	0.00986498	0.262918	0.00573533	0.00303172	0.000654182	0.309068	0.0326654	0.118077	0.504804	0.0570923	0.153651	0.310623	0.0341191	0.153009	0.0295345	0.118393	0.189711	0.0213756	0.0269638	0.195486	0.0403765	0.0218832	0.10771	0.132441	0.2390155	0.1357284	0.247552	0.506162	0.808619	1.23668	1.97565	4.03956	1.009502	0.0164845	0.0140747	0.0168756	0.0230363	0.0627442	0.00301171	0.080267	0.00175096	0.000925563	0.000199717	0.0943565	0.00997252	0.0360482	0.154113	0.0174299	0.0469085	0.0948311	0.0104163	0.0467125	0.00901667	0.0361446	0.0579175	0.00652581	0.00823186	0.0596807	0.0123267	0.00668078	0.032883	0.0404335	1.277831	0.880492	0.119508	3.27554
576	-524.3544	-553.8095	29.4551	0.0229559	0.0133045	0.0506093	0.0362301	0.231298	0.0744109	0.20054	0.00922846	0.00774845	0.00779051	0.23186	0.0350504	0.144157	0.187142	0.012116	0.266474	0.100875	0.0797372	0.102449	0.012309	0.0105342	0.157662	0.0375813	0.105037	0.179574	0.0981444	0.0905029	0.0926997	0.0351106	0.9134085	0.8406181	0.222652	0.480658	0.79568	1.25679	2.08048	4.49131	1.086154	0.0087181	0.00505274	0.0192202	0.0137593	0.0878415	0.0282595	0.0761601	0.00350475	0.00294267	0.00295865	0.088055	0.0133113	0.0547475	0.0710719	0.00460135	0.1012	0.0383098	0.0302823	0.0389076	0.00467466	0.00400064	0.0598761	0.0142725	0.0398907	0.0681978	0.0372729	0.0343708	0.0352051	0.0133342	1.025368	0.543296	0.456704	2.633132
612	-526.3255	-556.6265	30.30102	0.0520016	0.0111517	0.0649555	0.00510224	0.09796	0.00409024	0.209545	0.0044139	0.00748212	0.00939329	0.00688829	0.0375042	0.173459	0.238889	0.0389451	0.201576	0.0861735	0.0193709	0.0427164	0.122324	0.0184138	0.016281	0.0119878	0.0234832	0.161453	0.178383	0.0947942	0.0694652	0.058633	0.8208523	0.6961403	0.164137	0.414243	0.75961	1.31647	2.41404	6.09246	1.306623	0.02516	0.00539554	0.0314275	0.00246862	0.0473961	0.00197899	0.101384	0.00213558	0.00362008	0.00454477	0.00333277	0.0181457	0.0839251	0.115582	0.0188429	0.0975289	0.0416934	0.00937225	0.0206675	0.059184	0.00890918	0.00787724	0.00580007	0.0113619	0.078116	0.0863073	0.0458644	0.0336094	0.0283685	1.053946	0.589574	0.410426	2.066836
648	-528.1112	-554.9302	26.81896	0.0158994	0.0600071	0.190331	0.00439035	0.180673	0.0365223	0.31707	0.0364583	0.0101417	0.0801085	0.0679658	0.105777	0.285187	0.301678	0.092534	0.584192	0.163109	0.0351619	0.231688	0.0389927	0.113773	0.258648	0.00586481	0.0735406	0.334227	0.288802	0.0774307	0.323741	0.0500194	0.8523541	0.7426978	0.29511	0.551455	0.830531	1.20405	1.81339	3.38857	0.8824383	0.00364337	0.0137507	0.0436146	0.00100605	0.0414014	0.00836912	0.072657	0.00835444	0.00232398	0.0183569	0.0155744	0.024239	0.0653509	0.0691298	0.0212043	0.133868	0.0373766	0.00805739	0.0530916	0.00893522	0.0260711	0.0592694	0.00134393	0.0168519	0.0765884	0.0661794	0.0177433	0.0741855	0.011462	1.044042	0.573823	0.426177	4.363935
684	-529.2815	-558.7985	29.51703	0.0723963	0.0920569	0.125578	0.00898706	0.295849	0.0583966	0.137018	0.0207292	0.0686125	0.0405867	0.0498438	0.0844447	0.103777	0.229248	0.0249924	0.208094	0.0899347	0.0182805	0.083498	0.117588	0.0269788	0.0919399	0.0903644	0.150036	0.303219	0.0691414	0.0727213	0.260213	0.0438562	0.62158	0.4509366	0.286375	0.543432	0.826743	1.20957	1.84016	3.49193	0.9041647	0.0238273	0.030298	0.0413306	0.00295784	0.0973707	0.0192197	0.0450956	0.00682246	0.0225819	0.013358	0.0164047	0.0277927	0.0341554	0.0754507	0.00822557	0.0684884	0.0295996	0.00601652	0.0274811	0.0387008	0.00887932	0.0302595	0.029741	0.0493804	0.0997962	0.022756	0.0239342	0.0856419	0.0144341	1.121227	0.68921	0.31079	3.038381
