Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	muNeo	rate01	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	scale	stationaryDist[1]	stationaryDist[2]	tree_length
0	-528.9292	-560.0355	31.10634	0.016809	0.0478334	0.0597226	0.0244539	0.123787	0.00801182	0.107137	0.00020004	0.025552	0.00660058	0.0326594	0.0555949	0.0784845	0.280556	0.001802	0.0748696	0.0166609	0.0483083	0.027622	0.064633	0.0367024	0.0274896	0.0597545	0.0257514	0.0144381	0.0294293	0.0446092	0.0181813	0.0116349	0.6669242	0.5002898	0.086299	0.302752	0.688825	1.45175	3.30303	11.5876	1.771474	0.0122757	0.034933	0.0436158	0.0178589	0.0904025	0.00585108	0.0782428	0.000146091	0.0186608	0.00482045	0.0238513	0.0406013	0.0573178	0.204892	0.00131601	0.0546777	0.0121675	0.0352799	0.0201725	0.0472019	0.026804	0.0200758	0.0436391	0.0188064	0.0105442	0.0214924	0.0325784	0.0132779	0.00849701	1.105173	0.666538	0.333462	1.369288
36	-527.5289	-555.2809	27.75194	0.0664766	0.144737	0.0213627	0.00699234	0.324552	0.0140441	0.249511	0.0173047	0.0448377	0.0222055	0.310272	0.0297811	0.19426	0.0328315	0.124792	0.533246	0.135922	0.0667641	0.432276	0.0819279	0.300635	0.0338009	0.0242353	0.0245572	0.236283	0.103596	0.0683602	0.0667745	0.156404	0.6777981	0.5126283	0.20514	0.461834	0.785825	1.27255	2.16528	4.87471	1.145385	0.017183	0.0374118	0.00552187	0.00180739	0.0838909	0.00363015	0.0644942	0.00447295	0.0115897	0.00573971	0.0801998	0.00769788	0.0502128	0.00848636	0.0322565	0.137834	0.0351334	0.0172573	0.111736	0.0211769	0.0777086	0.00873693	0.00626438	0.0063476	0.0610748	0.0267778	0.0176699	0.01726	0.0404275	1.101392	0.661101	0.338899	3.868743
72	-522.3568	-553.7795	31.42269	0.0370405	0.0196834	0.0749734	0.0329915	0.087872	0.000974932	0.0745948	0.00404218	0.00559305	0.00856948	0.121718	0.0262006	0.0471798	0.04821	0.0276547	0.135274	0.0467289	0.000837331	0.0963052	0.0252239	0.0275363	0.0363732	0.0300273	0.0366478	0.0145466	0.0686536	0.0192407	0.0355249	0.0273014	0.6396093	0.4701659	0.0963178	0.319412	0.700433	1.42769	3.13075	10.3823	1.692055	0.030423	0.0161668	0.0615788	0.0270973	0.072173	0.000800753	0.0612679	0.00332001	0.00459381	0.00703848	0.0999723	0.0215197	0.0387508	0.0395969	0.0227139	0.111106	0.0383804	0.000687735	0.0790996	0.0207174	0.0226167	0.0298749	0.0246627	0.0301004	0.0119477	0.0563881	0.0158032	0.0291781	0.0224238	1.114788	0.680195	0.319805	1.217519
108	-528.9027	-559.2689	30.36617	0.0590632	0.0261903	0.080309	0.0212842	0.169956	0.0300976	0.295879	0.0023268	0.0214047	0.139055	0.0811478	0.0143421	0.0486657	0.109367	0.0262209	0.138369	0.0644384	0.00750311	0.0536347	0.020236	0.189749	0.00845429	0.145777	0.0952671	0.136121	0.0132557	0.0381504	0.0447658	0.0513608	0.7417668	0.5895305	0.168115	0.419109	0.762382	1.31168	2.38602	5.9483	1.289308	0.0276981	0.0122822	0.0376615	0.0099814	0.0797021	0.0141145	0.138755	0.00109117	0.0100379	0.0652108	0.0380548	0.00672582	0.0228221	0.0512885	0.0122965	0.064889	0.0302189	0.00351864	0.0251524	0.00948981	0.0889841	0.0039647	0.068363	0.0446762	0.0638349	0.00621635	0.0178909	0.0209932	0.024086	1.079658	0.629117	0.370883	2.13239
144	-529.1438	-559.617	30.47328	0.0163705	0.00317594	0.0152348	0.0144047	0.0481133	0.00261993	0.119555	0.00512043	0.00509108	0.0562396	0.0604228	0.098447	0.0683237	0.0559445	0.0330281	0.265017	0.121868	0.0244321	0.0418483	0.0423002	0.0257974	0.0536752	0.0849358	0.0656827	0.018511	0.123387	0.00141639	0.0502084	0.065076	0.8686287	0.7677662	0.0900604	0.309118	0.693311	1.44235	3.23502	11.1037	1.740625	0.0103203	0.00200217	0.0096043	0.009081	0.0303315	0.00165165	0.0753698	0.00322801	0.00320951	0.0354545	0.0380917	0.0620628	0.0430725	0.0352685	0.0208216	0.167072	0.0768278	0.0154025	0.026382	0.0266668	0.0162632	0.0338378	0.0535452	0.0414076	0.0116697	0.0777853	0.00089292	0.0316523	0.0410252	1.038998	0.565686	0.434314	1.586247
180	-523.2793	-552.7734	29.49409	0.0949471	0.0559727	0.192061	0.0738463	0.153703	0.0165263	0.355733	0.0163954	0.0285257	0.0598945	0.310942	0.0431672	0.127613	0.100692	0.0345815	0.251979	0.108018	0.0597064	0.214444	0.0638448	0.0454777	0.0198332	0.199307	0.138421	0.0180183	0.107347	0.170837	0.0151991	0.16421	0.4090779	0.2571326	0.252057	0.510634	0.810841	1.23329	1.95835	3.96735	0.9964609	0.0292934	0.0172689	0.0592555	0.0227833	0.0474211	0.00509876	0.109752	0.00505835	0.00880086	0.0184789	0.095933	0.0133181	0.0393715	0.0310659	0.0106692	0.0777415	0.0333261	0.0184208	0.066161	0.0196976	0.014031	0.006119	0.0614909	0.0427061	0.00555908	0.0331191	0.0527071	0.00468928	0.0506628	1.20313	0.795461	0.204539	3.241244
216	-525.6862	-557.4607	31.77448	0.0255745	0.0094598	0.042517	0.0365065	0.0593407	0.014191	0.153787	0.00210852	0.0133398	0.00520496	0.0752785	0.0535826	0.0718697	0.126906	0.0358271	0.0852552	0.024995	0.088616	0.0726755	0.0255726	0.0597465	0.00582956	0.0524612	0.0496795	0.00616747	0.0863432	0.0695353	0.00180032	0.0500572	0.4146967	0.2615882	0.118491	0.353373	0.722865	1.38338	2.82987	8.43949	1.542249	0.0182125	0.00673666	0.0302778	0.0259976	0.0422586	0.0101059	0.109517	0.00150155	0.00949973	0.00370663	0.0536085	0.0381581	0.051181	0.0903741	0.0255138	0.0607132	0.0177998	0.0631066	0.0517548	0.0182111	0.0425476	0.00415144	0.0373595	0.0353785	0.00439207	0.061488	0.0495185	0.00128207	0.0356475	1.200811	0.792652	0.207348	1.404228
252	-531.8614	-562.1038	30.24239	0.0303448	0.000907263	0.0498272	0.026599	0.108445	0.031436	0.140091	0.0233012	0.0120947	0.05998	0.140662	0.0250523	0.135307	0.121474	0.00838809	0.126538	0.114144	0.0101844	0.0205759	0.0299857	0.108522	0.159664	0.0430232	0.0133979	0.0315968	0.0645391	0.202337	0.0574829	0.0148298	0.6368741	0.4672159	0.0681966	0.269913	0.664587	1.50469	3.7049	14.6635	1.941701	0.0158812	0.000474825	0.0260775	0.0139209	0.0567558	0.0164523	0.0733181	0.0121949	0.0063299	0.0313911	0.0736167	0.0131114	0.0708143	0.0635747	0.00438999	0.0662249	0.0597385	0.00533013	0.0107686	0.0156933	0.0567959	0.0835619	0.0225166	0.00701192	0.0165365	0.0337772	0.105895	0.0300842	0.00776134	1.11576	0.681563	0.318437	1.910731
288	-521.1134	-553.1684	32.05493	0.0134051	0.0154986	0.0151043	0.0144407	0.0805927	0.0173739	0.073785	0.00622633	0.00691376	0.00805334	0.0402641	0.00655716	0.0369125	0.0313103	0.00378102	0.0352528	0.0269291	0.0281623	0.0179991	0.00490446	0.0285861	0.0375957	0.00563742	0.0168765	0.0274075	0.0162353	0.022968	0.0172091	0.0271554	0.490772	0.3251808	0.0792758	0.290475	0.679985	1.47062	3.44264	12.6142	1.832851	0.0196229	0.0226874	0.0221102	0.0211387	0.117974	0.0254326	0.108009	0.00911431	0.0101206	0.0117888	0.05894	0.0095986	0.0540337	0.045833	0.00553479	0.0516043	0.0394198	0.0412249	0.0263477	0.00717931	0.0418453	0.0550339	0.00825225	0.0247043	0.04012	0.0237657	0.0336214	0.0251913	0.039751	1.170266	0.754614	0.245386	0.6831377
324	-530.3165	-560.0712	29.7547	0.0182412	0.0389082	0.161454	0.00753444	0.0776801	0.0196957	0.233448	0.00565094	0.00256315	0.0837169	0.101462	0.0206174	0.0642751	0.20868	0.053325	0.313256	0.0901589	0.083991	0.0879717	0.0145082	0.213753	0.0644257	0.0580996	0.0878638	0.0634314	0.0606059	0.0197749	0.0335689	0.208618	0.7208694	0.563562	0.150821	0.397496	0.749893	1.33352	2.51575	6.63039	1.367803	0.00730442	0.0155802	0.064652	0.00301706	0.0311059	0.00788684	0.0934807	0.00226284	0.00102637	0.0335232	0.0406291	0.00825594	0.025738	0.083563	0.0213532	0.125439	0.0361029	0.033633	0.035227	0.00580959	0.0855945	0.0257983	0.0232652	0.0351838	0.0254002	0.0242688	0.00791858	0.0134422	0.0835381	1.086663	0.639565	0.360435	2.49728
360	-520.7763	-552.0812	31.3049	0.0187829	0.0130313	0.174955	0.0235429	0.0886942	0.00917012	0.151749	0.0179281	0.0131357	0.0419663	0.278311	0.0520162	0.074301	0.111576	0.0324753	0.126889	0.0885969	0.00866881	0.111254	0.0906798	0.0495472	0.0223455	0.0385878	0.0228426	0.0123163	0.0565838	0.0672442	0.039235	0.121218	0.2948822	0.1729395	0.127205	0.365817	0.730712	1.36853	2.73361	7.86133	1.490936	0.00959463	0.00665664	0.08937	0.0120261	0.0453066	0.00468427	0.077516	0.00915798	0.00670997	0.0214371	0.142166	0.0265708	0.0379543	0.056995	0.016589	0.0648172	0.0452569	0.00442819	0.0568308	0.0463209	0.0253096	0.0114145	0.0197114	0.0116684	0.00629137	0.0289041	0.0343495	0.0200419	0.0619205	1.252289	0.852559	0.147441	1.957643
396	-523.5203	-553.3766	29.85627	0.0101924	0.043918	0.119992	0.0170292	0.182524	0.0338752	0.146347	0.0173226	0.0217584	0.0682711	0.105086	0.00167313	0.177475	0.192217	0.0104993	0.20999	0.152754	0.015327	0.0361949	0.0223814	0.0999496	0.151127	0.117994	0.0636082	0.0690008	0.105829	0.154159	0.21179	0.374783	0.3898983	0.2421576	0.192892	0.448173	0.778498	1.28452	2.23128	5.18425	1.189901	0.003475	0.0149734	0.04091	0.00580592	0.0622298	0.0115494	0.0498955	0.00590597	0.00741831	0.0232763	0.0358281	0.000570437	0.0605083	0.0655345	0.00357962	0.0715941	0.0520798	0.00522559	0.0123403	0.0076307	0.0340768	0.0515253	0.0402289	0.0216866	0.0235251	0.0360814	0.0525589	0.0722075	0.127778	1.211115	0.805051	0.194949	2.93307
